3					1	2	3	END						Program Outputs													Program Inputs									Inputs								Outputs						
dimension	component	subcomponent	subsub	Variable Name	English Description	Spanish Description	French Description	variable type	Returned to LabVIEW	Basic Client Inputs	Expert Client Inputs	Design Assumptions	Minor Loss Coefficients	FCM	Flocculation	Sedimentation	Entrance Tank	Plant Level Tank	Materials List	Floc Hopper	Rapid Mixer	Elevations	User+BOD+LabVIEW+MLC	has source	comments		FCM	Flocculation	Sedimentation	Entrance Tank	Plant Level Tank	Floc Hopper	Rapid Mix	Materials List		Entrance Tank	Floc Tank	Sed Tank	Plt	Platform	AutoCAD Inputs	is input		Entrance Tank	Floc Tank	Sed Tank	Plt	Platform	AutoCAD Outputs	
D	Fcm	Tube	Available	D.FcmTubeAvailable	Diameter of available tubes for the flow control module			0	1					1																																				
D	Fcm	Tube	Max	D.FcmTubeMax	Maximum diameter of tube allowed for the flow control module			0	1					1																																				
D	Fcm	Tube	Min	D.FcmTubeMin	Minimum diameter of the FCM tube required			0	1					1																																				
D	Fcm	Tube	MinHeadloss	D.FcmTubeMinHeadloss	Minimum tube diameter for the FCM to produce the desired head loss at maximum flow			0	1					1																																				
D	Fcm	Tube	MinLaminar	D.FcmTubeMinLaminar	Minimum tube diameter for the FCM to maintain laminar flow			0	1					1																																				
D	Fcm	Valve	Orifice	D.FcmValveOrifice	Diameter of the valve in the FCM			0	1			1															1																							
D	Floc	Entry	Orifice	D.FlocEntryOrifice	Diameter of the floc entry orifice if it is a circle				1												1																													
D	m			D.m	Diffusion coefficient				1			1																					1																	
D	Plt	Weir	Estimated	D.PltWeirEstimated				0	1							1																																		
D	Sed	Launder	Orifice	D.SedLaunderOrifice	Diameter of the sed tank launder orifice	Diámetro de los orificios del tubo perforado de salida del tanque de sedimentación		0	1							1																																		
D	Sed	Launder	OrificeEst	D.SedLaunderOrificeEst	Estimated diameter of launder orifice			0	1							1																																		
D	Sed	Sludge	Orifice	D.SedSludgeOrifice	Diameter of sludge drain orifice	Diámetro del orificio del drenaje de lodo		0	1							1																																		
Del	Plt	Weir	H	Del.PltWeirH				0	1							1																																		
E	Concrete			E.Concrete	Pipe roughness for flow through a concrete channel			0	1			1																	1																					
E	Concrete	Ledge		E.ConcreteLedge					1			1																					1																	
E	Pvc			E.Pvc	Roughness coefficient for flow through PVC pipe			0	1			1										23					28		1																					
ED	Diffusion	Min		ED.DiffusionMin	Minimum value of energy dissipation rate for diffusion	Valor mínimo de la tasa de disipación para difusión			1		1																																							
ED	Floc			ED.Floc	Energy dissipation rate array for flocs	Matriz de tasa de disipación de energía para floculación		1	1		1																	1	1																					
ED	Floc	Channel		ED.FlocChannel	Energy dissipation array for floc channels				1						1																																			
ED	Floc	Entry	Orifice	ED.FlocEntryOrifice	Energy dissipation rate of bulk fluid	Tasa de disipación de energía de liquido neto			1		1																																							
ED	Floc	Large		ED.FlocLarge	Engery dissipation rate for large flocs			0	1							1													1																					
ED	Rm			ED.Rm	Energy dissipation rate for fine scale mixing in the rapid mix	Tasa de disipación de energía para mezcla rápida hasta escala fina		0	1		1																																							
ED	Sed	Inlet		ED.SedInlet	Energy dissipation rate for the inlet of the sed tank	Tasa de disipación de energía para la entrada del tanque de sedimentación		0	1		1																		1																					
ED	Target			ED.Target	Energy dissipation needed for a particular collision potential				1						1																																			
EN	Drill	Series		EN.DrillSeries	"enumerated type (0=Metric, 1=English) for drill bit sizes"	Seria de brocas		0	1	1																																								
EN	Pipe	Spec		EN.PipeSpec	enumerated type for pipe series	Calibre de tubería		0	1	1																			1																					
EN	Tube	Series		EN.TubeSeries	enumerated type for metric or english tubes	Calibre de mangueras		0	1	1																			1																					
H	Ap	Column		H.ApColumn				0	1			1																																						
H	Cp	Column		H.CpColumn	Height of the chlorine platform column			0	1			1																																						
H	d	max		H.dmax				0	1			1																																						
H	Drum			H.Drum	Height of the chemical drums			0	1			1																																						
H	Et			H.Et	Height of the entrance tank	Altura del tanque de entrada		0	1								1																	1																
H	Et			H.Et	Total height of the entrance tank				1												1																													
H	Exit	Channel		H.ExitChannel	Height of the exit channel	Altura del canal de salida		0	1							1																		1																
H	Floc			H.Floc	Height of the floc tank			0	1						1																			1																
H	Floc	Hopper		H.FlocHopper	Height of the floc hopper				1											1																														
H	Floc	Inlet	Pipe	H.FlocInletPipe	Height of the inlet pipe to the flocculator above the floor of the sed tank			0	1			1																																						
H	Floc	Overlap	Min	H.FlocOverlapMin	Minimum overlap between adjacent baffles to prevent short circuiting	Espacio mínimo de traslape entre pantallas separadoras para prevenir corto circuitos		0	1		1																																							
H	Floc	Port		H.FlocPort	Height of the floc port 			0	1						1																			1																
H	Inlet	Channel		H.InletChannel	Height of the inlet channel	Altura del canal de entrada 		0	1							1													1																					
H	Lfom	Freefall		H.LfomFreefall	Difference between the height of the water in floc tank and the bottom set of holes on the lfom			0	1			1																		1																				
H	Lfom	SF		H.LfomSF	Safety factor for the height of the linear flow orifice meter			0	1			1																		1																				
H	Plant	Freeboard		H.PlantFreeboard	Freeboard for the plant	Espacio para evitar rebalse para la planta		0	1	1																		1	1	1			1																	
H	Plt	Weir		H.PltWeir	Height of the weir carrying water to the distribution tank	Altura de la vertedero que lleva agua al tanque de distribución		0	1							1																		1																
H	Sed			H.Sed	Height of the sed tank	Altura del tanque de sedimentación		0	1							1																		1																
H	Sed	Above		H.SedAbove	Height of water needed above the lamella	Altura necesaria del agua sobre la placa de sedimentación		0	1							1																																		
H	Sed	Bay	Divider	H.SedBayDivider	Height of the wall dividing Sedimentation tank bays	Altura de la pared que divide las cameras de sedimentación		0	1							1																																		
H	Sed	Between		H.SedBetween	Distance between the top of the sed tank slopes and the bottom of the lamella	Distancia entre la parte superior de los tanques de sedimentación y el fondo de las placas		0	1		1																		1																					
H	Sed	Bottom	Slope	H.SedBottomSlope	The height taken up by sloped bottom fill in the sed tank			0	1							1																																		
H	Sed	Frame	Wall	H.SedFrameWall				0	1																				1																					
H	Sed	Manifold	Port	H.SedManifoldPort	Height of the port through which water exits into the sed inlet manifold	Altura del puerto a través del cual el agua sale al túnel de distribución		0	1							1																																		
H	Sed	Plate		H.SedPlate	Height of the sedimentation plate settlers	Altura de las placas de sedimentación		0	1							1																																		
H	Sed	Slope	Manifold	H.SedSlopeManifold	Inside height available at the wall of sed inlet manifold			0	1							1																																		
H	Sed	Sludge		H.SedSludge	Depth of sludge drain channel	Profundidad del canal de drenado de lodo		0	1							1													1					1																
H	Sed	Top	Slope	H.SedTopSlope	"Height at the wall to the top of the inlet manifold, includes the bottom fill slope"			0	1							1																																		
H	Sed	Weir	Exit	H.SedWeirExit	Height of the weir that regulates the water height in the sed tank				1							1																																		
H	Sed	Weir	Inlet	H.SedWeirInlet	Height of the weir that regulates the water height in the flocculator				1							1																																		
H	Slope	Rectangle		H.SlopeRectangle	Should be deleted related to trapezoidal slope height			0	1																																									
H	Slope	Thickness		H.SlopeThickness	vertical height occupied by the concrete plate forming the top of the inlet manifold when set at an angle			0	1							1																																		
H	Stock	Tank	Port	H.StockTankPort				0	1			1																																						
H	Weir			H.Weir	Height of the weir			0	1											1																														
HL	Et	Floc		HL.EtFloc				0	1			1																		1																				
HL	Fcm	Inlet	Design	HL.FcmInletDesign				0	1			1															1																							
HL	Fcm	Tube		HL.FcmTube	Maximum head loss through the flow control module			0	1			1															1																							
HL	Fcm	Valve		HL.FcmValve	Head loss due to flow control module valve			0	1					1																																				
HL	Fcm	Valve	Freefall	HL.FcmValveFreefall				0	1			1																																						
HL	Floc			HL.Floc	"head loss through the floc tank in total, used to determine the necessary height for the floc tank walls"	Perdida de carga total en el floculador		0	1						1																																			
HL	Floc	Baffle		HL.FlocBaffle	Head loss due to flocs travelling through baffles			0	1						1																																			
HL	Floc	Channels		HL.FlocChannels	Head loss in each floc channel	Pérdida de carga en cada canal del floculador		1	1						1																																			
HL	Floc	Entry	Orifice	HL.FlocEntryOrifice	Headloss through the entrance to the flocculator				1												1																													
HL	Lfom			HL.Lfom	Head loss due to linear flow orifice meter			0	1			1																		1																				
HL	Rm	Design		HL.RmDesign	Allowable head loss through the rapid mix pipe			0	1			1																																						
HL	Sed	Launder		HL.SedLaunder	Head loss through the sed tank launder	Perdida de carga en los tubos perforados de salida de los tanques de sedimentación		0	1							1													1																					
HL	Sed	Launder	Bod	HL.SedLaunderBod	The headloss for which the launders were designed to ensure uniform flow between sed tanks	Perdida de carga para la cual los tubos perforados de salida fueron diseñados para asegurar igual caudal entre tanques de sedimentación		0	1		1																		1																					
HL	Sed	Launder	Est	HL.SedLaunderEst	Estimated head loss through the launder			0	1							1																																		
HL	Sed	Launder	Manifold	HL.SedLaunderManifold	Head loss through the sed tank launder			0	1							1																																		
HL	Sed	Launder	Orifice	HL.SedLaunderOrifice	Head loss through the sed tank launder orifices			0	1							1																																		
HL	Sed	Launder	OrificeEst	HL.SedLaunderOrificeEst	Estimated head loss through the launder orifice			0	1							1																																		
HL	Sed	Sludge	Est	HL.SedSludgeEst					1							1																																		
HL	Sed	Sludge	OrificeEst	HL.SedSludgeOrificeEst					1							1																																		
HL	Sed	Weir		HL.SedWeir	Head loss from water flowing over weir				1							1																																		
HL	Sludge	Drain		HL.SludgeDrain					1							1																																		
HL	Sludge	Manifold		HL.SludgeManifold				0	1																																									
HL	Valve			HL.Valve					1							1																																		
HW	Et	Channel		HW.EtChannel	Height of the water for the second waterfall in the entrance tank			0	1												1																													
HW	Et	Crit		HW.EtCrit	Critical water depth over the waterfall in the entrance tank			0	1												1																													
HW	Et	Max		HW.EtMax	Maximum water level in the entrance tank	Nivel máximo de agua en el tanque de entrada		0	1		1						1																1																	
HW	Et	Min		HW.EtMin	Minimum water level in the entrance tank	Nivel mínimo de agua en el tanque de entrada		0	1			1																		1																				
HW	Et	Min		HW.EtMin	Minimum water depth required to keep the entrance tank orifice submerged				1												1																													
HW	Et	Total		HW.EtTotal	Total water depth in the entrance tank			0	1												1																													
HW	Et	Waterfall		HW.EtWaterfall	Height of the water over the waterfall in the entrance tank			0	1												1																													
HW	Exit	Channel		HW.ExitChannel	Water depth in the exit channel	Profundidad del agua en el tanque de salida		0	1							1																																		
HW	Floc	End		HW.FlocEnd	Water height at the end of the flocculator	Profundidad del  agua en la salida del floculador		0	1						1																																			
HW	Floc	Start		HW.FlocStart	water height at the beginning pf the flocculator	Profundidad del  agua en la entrada del floculador		0	1						1															1																				
HW	Inlet	Channel		HW.InletChannel	Water height in the inlet channel	Profundidad del  agua en el canal de entrada		0	1							1													1																					
HW	Inlet	Channel	Max	HW.InletChannelMax	Maximum allowable height of water in the inlet channel	Profundidad del máxima permitida del agua en el canal de entrada		0	1		1																		1																					
HW	Sed			HW.Sed	Water depth in the sed tank	Profundidad del agua en el tanque de sedimentación		0	1							1												1	1				1																	
HW	Sed	Est		HW.SedEst				0	1		1																		1																					
ID	Fcm	Tube		ID.FcmTube	Inner diameter of the FCM tube			0	1					1																																				
ID	Fcm	Tube	English	ID.FcmTubeEnglish	Inner diameter for fcm tube in English units			0	1			1																																						
ID	Fcm	Tube	Metric	ID.FcmTubeMetric	Inner diameter for fcm tube in metric units			0	1			1																																						
ID	Manifold			ID.Manifold					1																				1																					
ID	Sed	Sludge		ID.SedSludge				0	1							1																																		
K	90			K.90	Loss coefficient for the channel transition in a 90 degree turn			0	1				1																																					
K	Angle	Valve		K.AngleValve	Minor loss coefficient for flow through an angle valve			0	1				1																																					
K	Chk	Valve	Ball	K.ChkValveBall	the minor loss coefficient for ball check valve			0	1				1																																					
K	Chk	Valve	Conv	K.ChkValveConv				0	1				1																																					
K	E	145		K.E145				0	1				1																																					
K	E	190		K.E190				0	1				1																1																					
K	Exp			K.Exp	Minor loss coefficient of a jet				1				1																				1																	
K	Exp	0.25		K.Exp0.25				0	1				1																																					
K	Exp	0.5		K.Exp0.5				0	1				1																																					
K	Exp	0.75		K.Exp0.75				0	1				1																																					
K	Floc	Baffle	180	K.FlocBaffle180	Minor loss coefficient for a floc making a 180 degree turn			0	1				1																																					
K	Gate	Valve		K.GateValve	Minor loss coefficient for flow going through a gate valve			0	1				1																1																					
K	Globe	Valve		K.GlobeValve	minor loss coefficient for  globe valve			0	1				1																																					
K	L	Turn	90	K.LTurn90	Minor loss coefficient for a 90 degree turn			0	1				1																																					
K	Pipe	Ent		K.PipeEnt	Minor loss coefficient for water entering a pipe from a tank			0	1				1																1																					
K	Pipe	Exit		K.PipeExit	Minor loss coefficient for flow exiting a pipe			0	1				1																1																					
K	Return	Bend		K.ReturnBend				0	1				1																																					
K	Rm			K.Rm	minor loss coefficient for the rapid mix			0	1				1																																					
K	Rm	Lfom		K.RmLfom					1				1																				1																	
K	Rm	Orifice		K.RmOrifice	Minor loss coefficient for water flowing over a weir prior to orifice mixing				1				1																				1																	
K	Sed	Launder		K.SedLaunder	Minor loss coefficient for water going through the sed tank launder			0	1							1													1																					
K	Sed	Slope	Exit	K.SedSlopeExit				0	1				1																																					
K	Slope	Exit		K.SlopeExit				0	1				1																																					
K	Tee	Flow	Br	K.TeeFlowBr				0	1				1																																					
K	Tee	Flow	Run	K.TeeFlowRun				0	1				1																																					
L	Ap	Column		L.ApColumn				0	1			1																																						
L	Channel			L.Channel	Length of the inlet channel	Longitud del canal de entrada		0	1							1																		1																
L	Cp	Column		L.CpColumn	Length of the chlorine platform column			0	1			1																																						
L	Et			L.Et	Length of the entrance tank	Longitud del tanque de entrada		0	1								1																																	
L	Et			L.Et	Length of the entrance tank				1												1																													
L	Et	Orifice	Used	L.EtOrificeUsed	Length of the orifice used in the entrance tank				1												1																													
L	Et			L.Et	Length of the entrance tank	Longitud de la tanque de entrada		0	1								1																	1																
L	Exit	Channel		L.ExitChannel	Length of the exit channel	Longitud del canal de salida		0	1							1																		1																
L	Fcm	Tube		L.FcmTube	Length of tube for the flow control module			0	1					1													1																							
L	Fcm	Tube	Max	L.FcmTubeMax	Maximum length of tube allowed for the flow control module			0	1			1																																						
L	Fcm	Tube	Min	L.FcmTubeMin	Minimum tube length for the flow control module			0	1					1																																				
L	Floc	Baffle	Lower	L.FlocBaffleLower	Length of the lower floc baffles	Longitud de las pantallas inferiores de floculación		1	1						1																																			
L	Floc	Baffles		L.FlocBaffles				0	1						1																																			
L	Floc	Baffle	Upper	L.FlocBaffleUpper	Length of the upper floc baffles	Longitud de los pantallas superiores de floculación		1	1						1																																			
L	Floc	Entry	Orifice	L.FlocEntryOrifice	Length of the floc entry if the orifice is rectangular				1												1																													
L	Floc	Hopper		L.FlocHopper	Length of the floc hopper	Longitud de la tolva recolectora de flóculos en el tanque de sedimentación		0	1											1																														
L	Floc	Hopper	Offset	L.FlocHopperOffset	Distance from the edge of the channel to the bottom of the first lamella			0	1											1																														
L	Floc	Tank		L.FlocTank	Total length of floc tanks			0	1						1																																			
L	Inlet	Channel		L.InletChannel	Length of the inlet channel				1																																									
L	Lfom			L.Lfom				0	1								1																																	
L	Mp	Column		L.MpColumn	Length of the main platform column			0	1			1																																						
L	Pipe	Sed	PlateStand	L.PipeSedPlateStand					1								1																																	
L	Plt	Assumed		L.PltAssumed	Length of the plant leveling tank			0	1			1																																						
L	Rm	Pipe		L.RmPipe	Total pipe length between the orifices and the flocculator (rapid mix pipe)			0	1			1																																						
L	Sed			L.Sed	Length of one sed tank	Longitud de un tanque de sedimentación		0	1							1	1											1	1	1			1	1																
L	Sed	Active		L.SedActive	Active length of the sedimentation tank (subtracts out the length taken up by channels and dead length from the lamella			0	1							1																																		
L	Sed	Active	Max	L.SedActiveMax	active sed tank length without subtracting the length lost by the thickness of the lamella			0	1							1																																		
L	Sed	Inactive		L.SedInactive	Inactive area of the sedimentation tank			0	1							1																																		
L	Sed	Launder		L.SedLaunder	Length of the sed tank launder	Longitud del tubo perforado de salida		0	1							1																		1																
L	Sed	Launder	Est	L.SedLaunderEst	Estimated length of the sed tank launder			0	1							1																																		
L	Sed	Max		L.SedMax	Maximum length of the sedimentation tank			0	1							1																																		
L	Sed	Pipes	Total	L.SedPipesTotal	Total length of pipes in the sed tanks			0	1																																									
L	Sed	Plate		L.SedPlate	Length of the plate settlers	Longitud de placas sedimentadores		0	1							1																1		1																
L	Sed	Plate	Est	L.SedPlateEst	Estimated Length of the lamella (based on channel dimensions)			0	1							1																																		
L	Sed	Plate	Sheet	L.SedPlateSheet	Length of the sheets used to make the plate settlers	Longitud de las láminas para elaborar las placas sedimentador		0	1	1																								1																
L	Sed	Port		L.SedPort	The adjusted cut length due to the angle of the slope	La longitud ajustada de corte debido al ángulo de inclinación		0	1							1																																		
L	Sed	Slope	Manifold	L.SedSlopeManifold	Length of the concrete plate creating the top of the inlet manifold			0	1							1																		1																
L	Sed	Total		L.SedTotal	Total length of a single valley sed tank (placed end to end)			0	1							1																																		
L	slot			L.slot	Length of the floc tank slot into which baffles are slipped				1																												1													
Mu	Alum	Slope		Mu.AlumSlope	Dynamic viscosity of alum coagulant			0	1					1																																				
Mu	Alum	Slope	Intercept	Mu.AlumSlopeIntercept				0	1					1																																				
MW	Al			MW.Al	Molecular weight of aluminum			0	1					1																																				
MW	Al203			MW.Al203	Molecular weight of aluminum hydroxide			0	1					1																																				
MW	Alum			MW.Alum	Molecular weight of alum coagulant			0	1					1																																				
MW	H			MW.H	Molecular weight of hydrogen			0	1					1																																				
MW	O			MW.O	Molecular weight of oxygen			0	1					1																																				
MW	S			MW.S	Molecular weight of sodium			0	1					1																																				
N	Baffle			N.Baffle				0	1			1																																						
N	El	Launder		N.ElLaunder	Number of elbows in launder design			0	1			1																																						
N	Fcm			N.Fcm	Number of flow control modules			0	1					1																																				
N	Fcm	Tube		N.FcmTube	Number of tubes required for the flow control module			0	1					1																																				
N	Floc	Baffle	Col	N.FlocBaffleCol				0	1			1																																						
N	Floc	Baffles		N.FlocBaffles	Total number of floc baffles	Cantidad total de pantallas de floculación		0	1						1																																			
N	Floc	Baffles	Max	N.FlocBafflesMax	Maximum allowable number of baffles for a single channel				1						1																																			
N	Floc	Baffles	Min	N.FlocBafflesMin	Minimum allowable number of baffles for a single channel				1						1																																			
N	Floc	Channel	Baffles	N.FlocChannelBaffles	Number of baffles in each channel	Cantidad de pantallas en cada canal		1	1						1																			1																
N	Floc	Channel	Spaces	N.FlocChannelSpaces	Array of number of spacings between baffles in each channel				1						1																																			
N	Floc	Channels		N.FlocChannels	Number of floc channels	Cantidad de canales de floculación		0	1						1																			1																
N	Launders			N.Launders	Total number of launders				1																									1																
N	Lfom			N.Lfom				0	1			1																																						
N	Lfom	Orifices	Firstrow	N.LfomOrificesFirstrow	Number of orifices in the first row of the lfom			0	1			1																																						
N	Pipes	Sed	PlateFrame	N.PipesSedPlateFrame	Number of pipes in the sed plate frame			0	1																																									
N	Pipes	Sed	PlateStand	N.PipesSedPlateStand	Number of pipes in the plate settler stand			0	1																									1																
N	Rm	El		N.RmEl	Number of elbows in rapid mix			0	1			1																																						
N	Rm	Tee		N.RmTee	Number of tees in the rapid mix chamber			0	1			1																																						
N	Sed	Bays		N.SedBays	Number of sed tank bays per sed tank	Cantidad de cámaras de sedimentación en cada tanque de sedimentación		0	1							1													1			1		1																
N	Sed	Bays	Est	N.SedBaysEst	User choice of number of bays per sed tank	Cantidad de cámaras en cada tanque de sedimentación		0	1	1																			1																					
N	Sed	Bays	Min	N.SedBaysMin	Minimum number of bays per sed tank			0	1							1													1																					
N	Sed	Bays	Total	N.SedBaysTotal	Total number of bays per plant				1							1																																		
N	Sed	Cells	Proposed	N.SedCellsProposed				0	1							1																																		
N	Sed	Inlet	Chimneys	N.SedInletChimneys	Number of drop chimneys to all sed tanks				1																									1																
N	Sed	Inlet	Pipes	N.SedInletPipes	Number of pipes entering each slope pair			0	1			1																						1																
N	Sed	Inlet	Slopes	N.SedInletSlopes	Number of inlet slopes in each sed tank			0	1			1																																						
N	Sed	Launder	Orifices	N.SedLaunderOrifices	Number of orifices in each row of the sed tank launder	Cantidad de orificios en cada fila del tubo perforado de salida		0	1							1													1																					
N	Sed	Launders		N.SedLaunders	Number of launders per sed bay	Cantidad de tubos perforados de salida en cada cámara de sedimentación		0	1		1																		1					1																
N	Sed	Plate	Col	N.SedPlateCol	Number of columns of plate settlers			0	1			1																																						
N	Sed	Plate	Sheets	N.SedPlateSheets	Total number of sheets to construct plate settlers	Cantidad total de pliegos usados para hacer las placas de sedimentación		0	1										1																															
N	Sed	Plates		N.SedPlates	Number of plate settlers per bay	Cantidad de placas de sedimentación en cada camera		0	1							1																		1																
N	Sed	Plates	Total	N.SedPlatesTotal	Total number of sed plates				1																									1																
N	Sed	Plates	PerSheet	N.SedPlatesPerSheet	Number of plate settlers per one lamella sheet	Cantidad de placas hechos de un pliego		0	1																									1																
N	Sed	Ports		N.SedPorts	Number of ports in each sed tank manifold	Cantidad de puertos en cada túnel de distribución		0	1							1																		1																
N	Sed	Slope	Inlets	N.SedSlopeInlets	Number of inlets feeding each sed tank inlet slope			0	1			1																																						
N	Sed	Sludge		N.SedSludge	Number of sludge drains	Cantidad de drenajes de lodo		0	1							1																																		
N	Sed	Sludge	Orifices	N.SedSludgeOrifices	Number of orifices in sludge drain	Cantidad de orificios en el drenaje de lodo		0	1							1																																		
N	Sed	Tanks		N.SedTanks	Number of sed tanks	Cantidad de tanques de sedimentación 		0	1	1																			1					1																
ND	Plt	Weir		ND.PltWeir	Nominal pipe diameter of the weir			0	1							1																		1																
ND	Sed	Launder		ND.SedLaunder	Diameter of the sed tank launder	Diámetro del tubo perforado de salida		0	1							1													1																					
ND	Sed	Launder	Est	ND.SedLaunderEst	Estimated sed tank launder diameter			0	1							1																																		
ND	Sed	Plate	Frame	ND.SedPlateFrame	Nominal pipe diameter of the sed plate frame	Diámetro nominal de la tubería necesaria para apoyar las placas de sedimentación		0	1	1																			1																					
ND	Sed	Sludge	Valve	ND.SedSludgeValve	Diameter of sludge Drain Valve	Diámetro de la válvula de drenaje de lodillo		0	1							1																																		
