3					1	2	3	END						Program Outputs													Program Inputs									Inputs								Outputs						
dimension	component	subcomponent	subsub	Variable Name	English Description	Spanish Description	French Description	variable type	Returned to LabVIEW	Basic Client Inputs	Expert Client Inputs	Design Assumptions	Minor Loss Coefficients	FCM	Flocculation	Sedimentation	Entrance Tank	Plant Level Tank	Materials List	Floc Hopper	Rapid Mixer	Elevations	User+BOD+LabVIEW+MLC	has source	comments		FCM	Flocculation	Sedimentation	Entrance Tank	Plant Level Tank	Floc Hopper	Rapid Mix	Materials List		Entrance Tank	Floc Tank	Sed Tank	Plt	Platform	AutoCAD Inputs	is input		Entrance Tank	Floc Tank	Sed Tank	Plt	Platform	AutoCAD Outputs	
AN	Floc	Hopper		AN.FlocHopper	"Angle of floc hopper, with respect to SedPlates"	" ngulo de la tolva de floc, con respecto a las placas de sedimentaci¢n "		0																																										
AN	Sed	Plate		AN.SedPlate	Angle of the sedimentation plates	?ngulo de las placas de sedimentaci¢n		0	1		1																																							
AN	Sed	Slope		AN.SedSlope	Angle of the sedimentation slopes	?ngulo de las placas de sedimentaci¢n		0	1		1																																							
A	Inlet	Channel	Floor	A.InletChannelFloor	Are of the inlet channel floor	?rea del piso del canal de entrada		0	1										1																															
A	Sed	Manifold	PortsMax	A.SedManifoldPortsMax	Area of a single port in the inlet manifold	 rea de un puerto en el colector de admici¢n 		0		1						1																																		
A	Floc	Walls		A.FlocWalls	Area of all the walls in the floc tank	Espacio de todas las paredes del tanque de flc		0	1										1																															
A	Floc	Tank		A.FlocTank	Area of floc tank	 rea del tanque de floc 		0																																										
A	Et			A.Et	Area of the entrance tank	?rea del tanque de entrada		0	1								1				1													1																
A	Et	Floor		A.EtFloor	Area of the entrance tank floor	?rea del tanque de entrada de la planta		0	1										1																															
A	Et	Walls		A.EtWalls	Area of the entrance tank walls	?rea de las paredes del tanque de entrada		0	1										1																															
A	Floc	Entry		A.FlocEntry	Area of the entrance to the flocculator	?rea de entrada al floculador		0													1																													
A	Exit	Channel	Floor	A.ExitChannelFloor	Area of the exit channel floor	 rea del piso del canal de salida		0	1										1																															
A	Exit	Channel	Walls	A.ExitChannelWalls	Area of the exit channel walls (excluding the outside wall which is incluced in the area for the sed walls)	Espacio de las paredes del canal de salida (con exclusi¢n de la pared exterior que se incluye en el  rea de las paredes de sed)		0	1										1																															
A	Floc	Port		A.FlocPort	Area of the floc port (connecting channels)	 rea del puerto de floculaci¢n (canales de conexi¢n) 		1	1						1																																			
A	Floc	Port	H	A.FlocPortH	Area of the floc port in a horizontal flocculator	 rea del puerto de floculaci¢n en un floculador horizontal 		1							1																																			
A	Floc	Port	V	A.FlocPortV	Area of the floc port in a vertical flocculator	 rea del puerto de floc en un floculador vertical 		1							1																																			
A	Floc	Floor		A.FlocFloor	Area of the floc tank floor	?rea del piso del tanque de floculaci¢n 		0	1										1																															
A	Inlet	Channel	Walls	A.InletChannelWalls	Area of the inlet channel walls (excluding the outside wall which is incluced in the area for the sed walls)	Espacio de las paredes del canal de entrada (con exclusi¢n de la pared exterior que se incluye en el  rea de las paredes de sed)		0	1										1																															
A	LaunderCap	Orifice		A.LaunderCapOrifice	Area of the opening in the cap to allow inflow of water into the sedimentation tank	 rea de la apertura en la tapa que permite entrada de agua al tanque de sedimentaci¢n 		0								1																																		
A	Et	Orifice		A.EtOrifice	Area of the orifice for the entrance tank	 rea del orificio para el tanque de entrada  		0													1								1			1																		
A	Port				Area of the port cut into the bottom of the floc baffles	 rea del puerto cortado en el fondo de los deflectores de floc 		0							1														1			1																		
A	Sed	Slopes		A.SedSlopes	Area of the sed slopes for the entire plant	?rea de los pendientes de sed para toda la planta  		0	1										1																															
A 	Sed	Floor		A.SedFloor	Area of the sed tank floor	?rea del piso del tanque de sed 		0	1										1																															
A	Sed	Walls		A.SedWalls	Area of the sed tank walls	?rea de las paredes del tanque de sed		0	1										1																															
N	Floc	Channel	Spaces	N.FlocChannelSpaces	Array of number of spacings between baffles in each channel	Matriz de n£mero de separaciones entre los deflectores en cada canal		1							1																																			
N	Floc	Channel	SpacesH	N.FlocChannelSpacesH	Array of number of spacings between baffles in each channel for a horizontal flocculator	Matriz de n£mero de separaciones entre los deflectores en cada canal		1							1														1																					
N	Floc	Channel	SpacesV	N.FlocChannelSpacesV	Array of number of spacings between baffles in each channel for a vertical flocculator	Array de n£mero de separaciones entre los deflectores en cada canal para un floculador vertical		1							1														1																					
S	Floc	Baffle	V	S.FlocBaffleV	Array of spacing in each channel between baffles in a vertical flocculator	Espacio entre pantallas		0							1														1																					
AC	Chem	Tanks		AC.ChemTanks	AutoCAD command lin string to draw the chemical storage tanks	Cadena de l¡nea comandos AutoCAD para dibujar los tanques de almacenamiento de qu¡micos  		2	1																				1																					
AC	Entrance	Tank		AC.EntranceTank	AutoCAD command line string to draw the Entrance Tank	L¡nea de Comando AutoCAD para dibujar el Tanque de Entrada		2	1																																									
AC	Floc	Tank		AC.FlocTank	AutoCAD command line string to draw the Floc Tank	L¡nea de Comando AutoCAD para dibujar el Tanque de Floculaci¢n		2	1																																									
AC	Layout				AutoCAD command line string to draw the Plant Layouts			2	1																																									
AC	Sed	Tank		AC.SedTank	AutoCAD command line string to draw the Sed Tank	L¡nea de Comando AutoCAD para dibujar el Tanque de Sedimentaci¢n		2	1																																									
V	Inlet	Channel		V.InletChannel	Average velocity at the beginning of the inlet channel	La velocidad promedio en el inicio del canal de entrada		0	1																									1																
V	Floc			V.Floc	Average velocityinthe flocculator	Velocidad promedio en el floculador 		0	1						1																																			
V	Sed	C	Bod	V.SedCBod	Capture velocity for particles to settle in plate settlers	Velocidad de captura para que las part¡culas se asienten en las placas de sedimentaci¢n		0			1																		1																					
B	Sed	PlateFrame	Pipes	B.SedPlateFramePipes	Center to center distance between the lamella frame pipes	Distancia de centro a centro entre los tubos de marco laminilla 		0	1																																									
B	Sed	Sludge	Orifices	B.SedSludgeOrifices	Center-to-center distance between sludge drain orifices	Distancia de centro a centro entre orificios para drenado de lodillo		0	1							1																																		
Pi	VenaContracta	Orifice		Pi.VenaContractaOrifice	coefficient used to determine actual area of water flowing through a vena contracta	coeficiente utilizado para determinar el  rea real de agua que fluye a trav‚s de una vena contracta		0					1																																					
CP	Space	H		CP.SpaceH	Collision potential in one space of a horizontal flocculator	Potencial de colisi¢n en un espacio de un floculador horizontal 		0							1																	1																		
CP	Space			CP.Space	Collision potential in one space ofa flocculator	Potencial de colisi¢n en un espacio de un floculador 		0	1						1												1						1																	
CP	Floc			CP.Floc	collision potential needed to form large flocs in the flocculator	Colisi¢n potencial necesaria para formaci¢n de fl¢culos grandes en el floculador		0	1		1																		1																					
CP	Floc	Channel		CP.FlocChannel	collision potential per floc channel	Potencial de colisi¢n por canal de floc 		1	1						1																																			
C	Alum	Stock		C.AlumStock	concentration of alum in the stock tank	Concentraci¢n de sulfato de aluminio en tanque de almacenamiento		0	1	1																																								
Plant	Origin			Plant.Origin	Coordinates for the origin of the plant	Coordenadas para el origen de la planta		0				1																																						
HW	Et	Crit		HW.EtCrit	Critical water depth over the waterfall in the entrance tank	Profundidad cr¡tica del agua sobre la cascada en el tanque de entrada 		0													1							1																						
A	Sed	Tank		A.SedTank	cross sectional area of entrance tank	?rea transversal del tanque de entrada		0																																										
A	Floc	Hopper		A.FlocHopper	Cross sectional area of the floc hopper	?rea transversal de la tolva de fl¢culos		0												1																														
A	Sed	Sludge		A.SedSludge	cross sectional area of the rectangular sludge drain	 rea transversal del drenaje de lodo rectangular 		0								1																																		
A	Et	Channel	Water	A.EtChannelWater	Cross sectional area of the upper channel flow at the critical depth	 rea transversal del flujo a profundidad cr¡tica en el canal superior 		0													1																													
A	Inlet	Channel		A.InletChannel	Cross Sectional Area Required in the InletChannel	 rea transversal necesaria en el canal de entrada 		0								1																																		
Rho	FB			Rho.FB	Density of flocs	Densidad de los fl¢culos		0				1																	1																					
Rho	H2O			Rho.H2O	Density of water	Densidad del agua		0				1																																						
H	Sed	Sludge		H.SedSludge	Depth of sludge drain channel	Profundidad del canal de drenado de lodo		0	1							1																																		
Ti	Floc	Drain		Ti.FlocDrain	Desired flocculator drain time	Tiempo deseado de drenaje del floculador 		0	1																																									
Ti	wanted				Desired flocculator drain time	Tiempo deseado de drenaje del floculador 		0		1																																								
D	Drill			D.Drill	Diameter for drill bits in desired units	Di metro para brocas en las unidades deseadas 		0				1																					1																	
D	Drill	Eng		D.DrillEng	Diameter for drill bits in English units	Di metro para brocas en unidades inglesas 		0				1																																						
D	Drill	Met		D.DrillMet	Diameter for drill bits in metric units	Di…metro para brocas en unidades m‚tricas 		0				1																																						
D	Drum			D.Drum	Diameter of chemical drums	Di metro de los barriles de qu¡micos 		0				1																																						
D	Sed	Sludge	Orifice	D.SedSludgeOrifice	Diameter of sludge drain orifice	Di metro del orificio del drenaje de lodo		0	1							1																																		
ND	Sed	Sludge	Valve	ND.SedSludgeValve	Diameter of sludge Drain Valve	Di metro de la v lvula de drenaje de lodillo		0	1							1																																		
D	Floc	Entry	Orifice	D.FlocEntryOrifice	Diameter of the floc entry orifice if it is a circle	"Di metro del orificio de entrada de floc, si es sircular "		0													1																	1												
ND	Sed	Manifold		ND.SedManifold	Diameter of the inlet manifold	Di metro del colector de admisi¢n		0	1							1																																		
D	RM	Macro	Orifice	D.RMMacroOrifice	Diameter of the macro orifice in the rapid mix system	Di metro del orificio macro en el sistema de mezcla r pida 															1																													
D	RM	Micro	Orifice	D.RMMicroOrifice	Diameter of the micro mix orifice in the rapid mix system	Di metro del orificio de mezcla micro en el sistema de mezcla r pida  			1												1																													
ND	Sed	Module	Pipe	ND.SedModulePipe	Diameter of the pipe used to hold the lamina together	El di metro del tubo que se utiliza para mantener la l mina junta		0	1		1																																							
ND	Sed	Module	PipeSpace	ND.SedModulePipeSpace	Diameter of the pipes that serve as a ledge for the plate settler to lie on.	Di metro de los tubos que sirven como una repisa para sostener las placas de sed 		0	1		1																																							
ND	Sed	Launder		ND.SedLaunder	Diameter of the sed tank launder	Di metro del tubo perforado de salida		0	1							1													1																					
D	Sed	Launder	Orifice	D.SedLaunderOrifice	Diameter of the sed tank launder orifice	Di metro de los orificios del tubo perforado de salida del tanque de sedimentaci¢n		0	1							1																	1																	
D	Sed	Manifold	Port	D.SedManifoldPort	Diameter of the sed tank manifold port	Di metro de los orificios del tubo perforado de salida del tanque de sedimentaci¢n		0	1							1											28		1																					
H	Lfom	Freefall		H.LfomFreefall	Difference between the height of the water in floc tank and the bottom set of holes on the lfom	Diferencia entre la altura del agua en el tanque de floc y el conjunto de agujeros en el fondo en el lfom 		0				1																																						
D	m			D.m	Diffusion coefficient	Coeficiente de difusi¢n						1																1	1																					
H	Sed	Between		H.SedBetween	Distance between the top of the sed tank slopes and the bottom of the lamella	Distancia entre la parte superior de los tanques de sedimentaci¢n y el fondo de las placas		0	1							1																																		
L	Floc	Hopper	Offset	L.FlocHopperOffset	Distance from the edge of the channel to the bottom of the first lamella	Distancia desde el borde del canal hasta el fondo de la primera laminilla 		0	1											1																														
Ti	Sludge	Drain		Ti.SludgeDrain	Drainage time for the sedimentation tank	Tiempo de drenaje para el tanque de sedimentaci¢n		0		1																																								
Ti	Stock	Min		Ti.StockMin	Duration of alum stock tank at maximum alum dose and plant flow rate	Duraci¢n del dep¢sito de alumbre a m xima dosis de alumbre y m ximo flujo de la planta		0		1																																								
Mu	Alum	Slope		Mu.AlumSlope	Dynamic viscosity of alum coagulant	Viscosidad din mica de alumbre coagulante 		0						1															1																					
Pi	Lfom	H		Pi.LfomH	Elevation between orifice rows at which the flow is calibrated	Altura entre filas de orificios a la cual se calibra el flujo 		0				1																																						
Z	Floc	Hopper		Z.FlocHopper	Elevation of floc hopper	La elevaci¢n de la tolva de floc																																												
Z	Floc	Tank		Z.FlocTank	Elevation of floc tank	La elevaci¢n del tanque de floculaci¢n		0	1						1														1																					
Z	RM	MacroOrifice		Z.RMMacroOrifice	Elevation of the macro orifice in the rapid mix system	Elevaci¢n del orificio macro en el sistema de mezcla r pida			1												1																													
Z	Sed	Launder		Z.SedLaunder	Elevation of the sed tank launder	Elevaci¢n del Tubo perforado de salida		0	1							1																																		
Z	Sed	Slopes		Z.SedSlopes	Elevation of the sed tank slopes	Altura del punto mas alto de la placa que forma el t£nel de distribuci¢n		0	1							1																																		
Z	Sed	Sludge		Z.SedSludge	Elevation of the sludge drain	Elevaci¢n del drenaje de lodo		0	1							1												1									1													
Z	Et	Top		Z.EtTop	Elevation of the top of the entrance tank	La elevaci¢n de la parte superior del tanque de entrada			1												1																													
ED	Floc	Channel		ED.FlocChannel	Energy dissipation array for floc channels	Matriz de Disipaci¢n de energ¡a para canales de floc  		1	1						1														1																					
ED	Floc	Channel	First	ED.FlocChannelFirst	Energy dissipation in all channels except last.	Disipaci¢n de energ¡a en todos los canales exepto el £ltimo 		0	1						1																																			
ED	Floc	Channel	Last	ED.FlocChannelLast	Energy dissipation in last channel	Disipaci¢n de energ¡a en el £ltimo canal 		0	1						1																																			
ED	Target			ED.Target	Energy dissipation needed for a particular collision potential	Disipaci¢n de energ¡a necesaria para un potecial de colisi¢n en particular 		0							1																																			
ED	Floc			ED.Floc	Energy dissipation rate array for flocs	Matriz de tasa de disipaci¢n de energ¡a para floculaci¢n		0	1		1																																							
ED	Sed	Manifold	Port	ED.SedManifoldPort	Energy dissipation rate create by a port in the inlet manifold.	Taza de Disipaci¢n de energ¡a creada por un puerto en el colector de admisi¢n 		0																																										
ED	Rm			ED.Rm	Energy dissipation rate for fine scale mixing in the rapid mix	Tasa de disipaci¢n de energ¡a para mezcla r pida hasta escala fina		0			1																																							
ED	Sed	Inlet		ED.SedInlet	Energy dissipation rate for the inlet of the sed tank	Tasa de disipaci¢n de energ¡a para la entrada del tanque de sedimentaci¢n		0	1		1																																							
ED	Floc	Entry	Orifice	ED.FlocEntryOrifice	Energy dissipation rate of bulk fluid	Tasa de disipaci¢n de energ¡a de liquido neto		0			1																																							
ED	RM	Micro	OrificeOne	ED.RMMicroOrificeOne	Energy dissipation through the micro mix orifice if only one micro orifice is used	Disipaci¢n de energ¡a a trav‚s del orificio de mezcla micro si solo un orificio micro es usado 			1												1													1																
ED	Floc	Large		ED.FlocLarge	Engery dissipation rate for large flocs	Taza de Disipaci¢n de energ¡a para floculadors grandes  		0								1																																		
EN	Drill	Series		EN.DrillSeries	"enumerated type (0=Metric, 1=English) for drill bit sizes"	Serie de brocas		0	1	1																								1																
EN	Tube	Series		EN.TubeSeries	enumerated type for metric or english tubes	Calibre de tuber¡a		0	1																									1																
EN	Tube	Series		EN.TubeSeries	enumerated type for metric or english tubes	Calibre de tuber¡a		0	1																																									
EN	Pipe	Series		EN.PipeSeries	enumerated type for pipe series	Calibre de ca¤o		0	1	1																																								
EN	Floc	Horiz		EN.FlocHoriz	"equals 1 if the flocculator is horizontal, equals 0 if the flocculator is vertical"	"igual a 1 si el floculador es horizontal, igual a 0 si el floculador es vertical "		0	1						1																																			
B	Sed	Launder	OrificesEst	B.SedLaunderOrificesEst	Estimated Center-to-center distance between launder orifices	Distancia de centro a centro entre orificios		0			1																							1																
B	Sed	Manifold	PortsEst	B.SedManifoldPortsEst	Estimated Center-to-center distance between manifold ports	Distancia de centro a centro entre orificios		0			1																							1																
Q	Sed	Launder	OrificesEst	Q.SedLaunderOrificesEst	Estimated flow rate through the orifice of the sed tank launder	Caudal de un orificio en el tubo perforado de salida de tanque de sedimentaci¢n		0								1																																		
HL	Sed	Launder	Est	HL.SedLaunderEst	Estimated head loss through the launder	P‚rdida de carga estimada a trav‚s del lavador 		0								1																																		
HL	Sed	Launder	OrificeEst	HL.SedLaunderOrificeEst	Estimated head loss through the launder orifice	P‚rdida de carga estimada a trav‚s de los orificios del lavador 		0								1																																		
H	Exit	Channel	Est	H.ExitChannelEst	Estimated height of the exit channel	Altura estimada del canal de salida 		0								1																																		
H	Floc	Port	EstV	H.FlocPortEstV	Estimated height of the floc port in a vertical flocculator	Altura del canal de entrada 		0							1														1																					
H	Inlet	Channel	Est	H.InletChannelEst	Estimated height of the inlet channel	Altura del canal de entrada 		0								1													1																					
L	Sed	Inactive	Est	L.SedInactiveEst	Estimated inactive area of the sedimentation tank	 rea inactiva estimada del tanque de sed 		0								1														1																				
L	Sed	Active	Est	L.SedActiveEst	Estimated length of the active part of the sed tank(subtracts out the length taken up by channels and dead length from the lamella)	Longitud estimada de la parte activa del tanque de sed  (resta el espacio ocupado por canales y longitudes redundantes de la lamilla)		0								1														1																				
L	Sed	Plate	Est	L.SedPlateEst	Estimated Length of the lamella (based on channel dimensions)	Longitud estimada de la lamilla (basada en las dimensiones de canales)		0								1												1	1	1			1																	
L	RM	Pipe	Est	L.RMPipeEst	Estimated length of the rapid mix pipe (length of sed tank + width of walkway + elevation of sed weir exit	Longitud estimada de la tuber¡a de mezcla r pida (longitud  del tanque de sed + anchura del pasillo + altura de la salida del vertedero de sed)			1												1													1																
L	Sed	Launder	Est	L.SedLaunderEst	Estimated length of the sed tank launder	Longitud estimada del lavador del tanque de sed 		0								1																		1																
L	Sed	Est		L.SedEst	"Estimated length of the sed tank, not taking into account the numebr of modules."	"Longitud estimada del tanque de sed, sin contar el n£mero de m¢dulos "		0								1																																		
N	Sed	Plates	Est	N.SedPlatesEst	Estimated number of plate settlers per bay	N£mero estimado de placas de sedimentaci¢n por bah¡a		0									1																																	
N	Sed	Manifold	PortsEst	N.SedManifoldPortsEst	Estimated number of ports in the manifold	N£mero estimado de los puertos en el colector		0								1													1																					
HW	Inlet	Channel	Est	HW.InletChannelEst	Estimated water height in the inlet channel	Profundidad del  agua en el canal de entrada		0								1																																		
W	Exit	ChannelEst		W.ExitChannelEst	Estimated width of the exit channel not taking into account the type of the weir.	Ancho del canal de salida		0								1													1																					
W	Floc	Port	EstV	W.FlocPortEstV	Estimated width of the floc port of a vertical flocculator	Ancho del puerto entre canales del floculador		1							1																																			
W	Inlet	Channel	Est	W.InletChannelEst	Estimated width of the inlet channel not taking into account the nature of the weir.	Anchura estimada del canal de entrada sin tener en cuenta la naturaleza del vertedero 		0								1																																		
S	Channel	Pipe	Wall	S.ChannelPipeWall	Extra space allowed on both sides of pipe to avoid interference with the channel walls	Espacio adicional permitido en ambos lados de la tuber¡a para evitar interferencia con las paredes del canal		0				1																																						
W	Cp	Walkway		W.CpWalkway	Extra width for chlorine platform walkway	Anchor extra para el pasillo de la plataforma de cloro 		0				1																	1					1																
W	Ap	Walkway		W.ApWalkway	Extra width for the alum platform walkway	Extra ancho de plataforma para el pasillo de alumbre		0				1																																						
S	Floc	Baffle	CalcH	S.FlocBaffleCalcH	First guess of spacing between baffles in horizontal flocculator	Espacio entre pantallas		0							1																																			
Q	Sed	Bay		Q.SedBay	Flow rate through one sedimentation tank bay	Caudal de una camera de sedimentaci¢n		0	1																												1													
Q	Sed	Manifold		Q.SedManifold	Flow rate through the inlet manifold of the sed tank	Caudal en un t£nel de distribuci¢n		0	1							1																																		
Q	Sed	Launder	Orifices	Q.SedLaunderOrifices	Flow rate through the orifice of the sed tank launder	Caudal de un orificio en el tubo perforado de salida de tanque de sedimentaci¢n		0	1							1																																		
Q	Sed	Sludge	Orifices	Q.SedSludgeOrifices	Flow through an orifice in the sludge drain	El flujo a trav‚s de un orificio en la drenaje de lodos		0	1							1																																		
Q	Sed			Q.Sed	Flow through the sed tank	Caudal de un tanque de sedimentaci¢n		0	1							1																																		
Q	Sed	Sludge	Drain	Q.SedSludgeDrain	Flow through the sludge drain	El flujo a trav‚s del drenaje de lodos		0								1														1																				
H	Plant	Freeboard		H.PlantFreeboard	Freeboard for the plant	Espacio para evitar rebalse para la planta		0	1							1											1																							
S	Floc	Port	Gap	S.FlocPortGap	Gap between last baffle and port for flocculator	Espacio extra alrededor de los puertos para que el agua retorne (espacio entre el orificio y la ultima pantalla)		0			1																1																							
S	Floc	Port	GapH	S.FlocPortGapH	Gap between last baffle and port for horizontal flocculator	Espacio extra alrededor de los puertos para que el agua retorne (espacio entre el orificio y la ultima pantalla)		0			1																																							
S	Floc	Port	GapV	S.FlocPortGapV	Gap between last baffle and port for vertical flocculator	Espacio extra alrededor de los puertos para que el agua retorne (espacio entre el orificio y la ultima pantalla)		0			1																																							
HL	Floc	Baffle		HL.FlocBaffle	Head loss  per baffle in each channel	P‚rdida de carga por deflector in cada canal 		1	1						1																																			
HL	Fcm	Valve		HL.FcmValve	Head loss due to flow control module valve	P‚rdida de carga debido a la v lvula del m¢dulo de control de flujo		0																																										
HL	Lfom			HL.Lfom	Head loss due to linear flow orifice meter	P‚rdida de carga debido al medidor de orificio de flujo lineal 		0				1																																						
HL	Sed	Weir	Exit	HL.SedWeirExit	Head loss from water flowing over the exit weir	P‚rdida de carga del agua que fluye sobre el vertedero de salida 		0	1							1																																		
HL	Sed	Weir	Inlet	HL.SedWeirInlet	Head loss from water flowing over the inlet weir	P‚rdida de carga del agua que fluye sobre el vertedero de entrada 		0	1							1																																		
HL	Floc	Channels		HL.FlocChannels	Head loss in each floc channel	P‚rdida de carga en cada canal del floculador		0													1									1																				
HL	Floc			HL.Floc	"head loss through the floc tank in total, used to determine the necessary height for the floc tank walls"	Perdida de carga total en el floculador		0							1																																			
HL	RM	Macro	Orifice	HL.RMMacroOrifice	head loss through the macro orifice of the rapid mix system	P‚rdida de carga a trav‚s del orificio macro del sistema de mezcla r pida 															1																													
HL	RM	Micro	Orifice	HL.RMMicroOrifice	head loss through the micro mix orifice in the rapid mix design	P‚rdida de carga a trav‚s del orificio micro del sistema de mezcla r pida 			1												1																													
HL	RM	Pipe		HL.RMPipe	head loss through the rapid mix pipe	P‚rdida de carga a trav‚s del tubo de mezcla r pida 			1												1																													
HL	Sed	Launder		HL.SedLaunder	Head loss through the sed tank launder	Perdida de carga en los tubos perforados de salida de los tanques de sedimentaci¢n		0			1																																							
HL	Sed	Launder	Manifold	HL.SedLaunderManifold	Head loss through the sed tank launder	P‚rdida de carga a trav‚s del lavador del tanque de sed		0								1																																		
HL	Sed	Launder	Orifice	HL.SedLaunderOrifice	Head loss through the sed tank launder orifices	P‚dida de carga a trav‚s de los orificios del lavador del tanque de sed 		0								1													1																					
HL	Floc	Entry	Orifice	HL.FlocEntryOrifice	Headloss through the entrance to the flocculator	P‚rdida de carga a trav‚s de la entrada al floculador 		0																					1																					
Z	Mp			Z.Mp	Height from zero elevation to the main platform	Altura desde cota cero a la plataforma principal		0								1																																		
H	Ap	Column		H.ApColumn	Height of the alum platform column	Altura de la plataforma de la columna de alumbre 		0				1																																						
H	Drum			H.Drum	Height of the chemical drums	Altura de los barriles qu¡micos 		0	1			1					1																																	
H	Cp	Column		H.CpColumn	Height of the chlorine platform column	Altura de la plataforma de la columna de cloro 		0				1																																						
H	Et			H.Et	Height of the entrance tank	Altura del tanque de entrada		0	1												1																													
H	Exit	Channel		H.ExitChannel	Height of the exit channel	Altura del canal de salida		0	1						1																																			
H	Floc	Hopper		H.FlocHopper	Height of the floc hopper	Altura de la tolva de floc 		0																																										
H	Floc	Port		H.FlocPort	Height of the floc port (connecting channels)	Altura del puerto de floc (canales de conexi¢n) 		0							1																																			
H	Floc	Port	0	H.FlocPort0	Height of the floc port (connecting channels) (single value needed for documentation)	Altura del puerto de floc (canales de conexi¢n) (solo una v lvula necesaria para documentaci¢n)		1	1						1																																			
H	Floc	Port	H	H.FlocPortH	Height of the floc port in a horizontal flocculator	Altura del canal de entrada 		0							1																																			
H	Floc	Port	V	H.FlocPortV	Height of the floc port in a vertical flocculator	Altura del canal de entrada 		0	1						1																																			
H	Floc			H.Floc	Height of the floc tank	Altura del tanque de floc 		0	1											1																														
P	Floc	Channel	H	P.FlocChannelH	Height of the horizontal flocculator	Altura del floculador horizontal		0				1																																						
P	Floc	Channel		P.FlocChannel	"Height of the horizontal flocculator, dith of a vertical flocculator channel"	"Altura del floculador horizontal, profundidad de un canal vertical floculador"		0																																										
H	Inlet	Channel		H.InletChannel	Height of the inlet channel	Altura del canal de entrada 		0	1																								1																	
H	Floc	Inlet	Pipe	H.FlocInletPipe	Height of the inlet pipe to the flocculator above the floor of the sed tank	Altura del tubo de entrada al floculador encima del piso del tanque de sedimentaci¢n 		0			1																			1																				
H	Sed	Manifold	Port	H.SedManifoldPort	Height of the port through which water exits into the sed inlet manifold	Altura del puerto a trav‚s del cual el agua sale al t£nel de distribuci¢n		0								1																																		
H	Sed			H.Sed	Height of the sed tank	Altura del tanque de sedimentaci¢n		0								1																																		
H	Sed	Plate		H.SedPlate	Height of the sedimentation plate settlers	Altura de las placas de sedimentaci¢n		0	1							1																																		
H	Slope			H.Slope	Height of the slope in the floc tank	Altura del pendiente en el tanque de floc 		0																																										
H	Sed	Slope	Triangle	H.SedSlopeTriangle	Height of the triangle part of the sedimentation slopes	Altura de la parte triangular de los pendientes de sedimentaci¢n 		0	1							1																																		
H	Sed	Bay	Divider	H.SedBayDivider	Height of the wall dividing Sedimentation tank bays	Altura de la pared que divide las cameras de sedimentaci¢n		0	1							1																																		
HW	Et	Channel		HW.EtChannel	Height of the water for the second waterfall in the entrance tank	Altura del agua para la segunda cascada en el tanque de entrada 		0													1									1																				
HW	Et	Waterfall		HW.EtWaterfall	Height of the water over the waterfall in the entrance tank	Altura del agua sobre la cascada sobre la cascada en el tanque de entrada 		0													1								1																					
H	Weir			H.Weir	Height of the weir	Altura del vertedero 		0																					1																					
H	Plt	Weir		H.PltWeir	Height of the weir carrying water to the distribution tank	Altura del vertedero que lleva agua al tanque de distribuci¢n		0	1							1													1																					
